brand,che_pc_usd,che_perc_gdp,cluster_nl,corporation,country,launch_date,date,drug_id,ind_launch_date,indication,insurance_perc_che,population,prev_perc,price_month,price_unit,public_perc_che,therapeutic_area,target,drug_in_other_countries,therapeutic_area_encoded
BRAND_7114,1.9837702871410736,1.996190719709857,BRAND_7114_COUNTRY_4242,CORP_6095,COUNTRY_4242,2014-07-01,2014-07-01,DRUG_ID_5417,-1,"['IND_851C', 'IND_0AE9']",-1.0,1.0097251507703806,0.0731178597862985,-1.0,1.2733029288247568,2.0,THER_AREA_CD59,1.2062995265698078,True,11
BRAND_7114,1.9837702871410736,1.996190719709857,BRAND_7114_COUNTRY_4242,CORP_6095,COUNTRY_4242,2014-07-01,2014-08-01,DRUG_ID_5417,-1,"['IND_851C', 'IND_0AE9']",-1.0,1.0097251507703806,0.0731178597862985,-1.0,1.2781842729086712,2.0,THER_AREA_CD59,1.2407349694559595,True,11
BRAND_CCAA,2.04041822721598,2.1465275550588885,BRAND_CCAA_COUNTRY_C8F4,CORP_8F4F,COUNTRY_C8F4,2014-09-01,2014-09-01,DRUG_ID_07FE,-1,['IND_36A0'],-1.0,1.0430342812142084,0.0028536325596307,-1.0,1.9957010616324389,2.0,THER_AREA_96D7,1.0209649463665262,True,9
BRAND_7114,1.9837702871410736,1.996190719709857,BRAND_7114_COUNTRY_4242,CORP_6095,COUNTRY_4242,2014-07-01,2014-09-01,DRUG_ID_5417,-1,"['IND_851C', 'IND_0AE9']",-1.0,1.0097251507703806,0.0731178597862985,-1.0,1.278908827498089,2.0,THER_AREA_CD59,1.3685027860208008,True,11
BRAND_CCAA,1.9837702871410736,1.996190719709857,BRAND_CCAA_COUNTRY_4242,CORP_8F4F,COUNTRY_4242,2014-09-01,2014-09-01,DRUG_ID_07FE,-1,"['IND_36A0', 'IND_F338']",-1.0,1.0097251507703806,0.013845786203971,1.6465682558087678,1.876014998327869,2.0,THER_AREA_96D7,1.0202893910434492,True,9
BRAND_3E0A,2.04041822721598,2.1465275550588885,BRAND_3E0A_COUNTRY_C8F4,CORP_01C7,COUNTRY_C8F4,2014-10-01,2014-10-01,DRUG_ID_3210,-1,['IND_617C'],-1.0,1.0430342812142084,0.0330071092267318,1.0039691388306649,1.012002710962734,2.0,THER_AREA_980E,1.001122757450858,True,10
BRAND_7114,1.9837702871410736,1.996190719709857,BRAND_7114_COUNTRY_4242,CORP_6095,COUNTRY_4242,2014-07-01,2014-10-01,DRUG_ID_5417,-1,"['IND_851C', 'IND_0AE9']",-1.0,1.0097251507703806,0.0731178597862985,-1.0,1.2848448757829698,2.0,THER_AREA_CD59,1.5064923037519442,True,11
BRAND_7114,1.6690074906367045,1.764280790089781,BRAND_7114_COUNTRY_89F9,CORP_6095,COUNTRY_89F9,2014-08-01,2014-10-01,DRUG_ID_5417,-1,"['IND_851C', 'IND_0AE9']",-1.0,1.4954848339178637,0.0609816473585694,-1.0,1.278788866143661,1.9402985074626864,THER_AREA_CD59,2.3184084049400675,True,11
BRAND_CCAA,1.9837702871410736,1.996190719709857,BRAND_CCAA_COUNTRY_4242,CORP_8F4F,COUNTRY_4242,2014-09-01,2014-10-01,DRUG_ID_07FE,-1,"['IND_36A0', 'IND_F338']",-1.0,1.0097251507703806,0.013845786203971,1.6465682558087678,1.8946610849472825,2.0,THER_AREA_96D7,1.0574543839249606,True,9
BRAND_222B,2.04041822721598,2.1465275550588885,BRAND_222B_COUNTRY_C8F4,CORP_6095,COUNTRY_C8F4,2014-10-01,2014-10-01,DRUG_ID_2D67,-1,"['IND_4E22', 'IND_528C']",-1.0,1.0430342812142084,0.0033466830265671,-1.0,2.3835785669533163,2.0,THER_AREA_96D7,1.0014565943317613,True,9
BRAND_CCAA,2.04041822721598,2.1465275550588885,BRAND_CCAA_COUNTRY_C8F4,CORP_8F4F,COUNTRY_C8F4,2014-09-01,2014-10-01,DRUG_ID_07FE,-1,['IND_36A0'],-1.0,1.0430342812142084,0.0028536325596307,-1.0,2.009652646998988,2.0,THER_AREA_96D7,1.0435803420705665,True,9
BRAND_E31D,1.9837702871410736,1.996190719709857,BRAND_E31D_COUNTRY_4242,CORP_39F7,COUNTRY_4242,2014-10-01,2014-10-01,DRUG_ID_2D81,-1,['IND_10F9'],-1.0,1.0097251507703806,0.0001205549553381,1.3949739107166748,1.3085131938118475,2.0,THER_AREA_96D7,1.0019487663951148,True,9
BRAND_D35F,1.9837702871410736,1.996190719709857,BRAND_D35F_COUNTRY_4242,CORP_E8B1,COUNTRY_4242,2014-11-01,2014-11-01,DRUG_ID_645E,-1,['IND_8EA5'],-1.0,1.0097251507703806,0.0176378498534615,2.3222751192971502,3.766914528511761,2.0,THER_AREA_96D7,1.002912933255083,True,9
BRAND_CCAA,1.9837702871410736,1.996190719709857,BRAND_CCAA_COUNTRY_4242,CORP_8F4F,COUNTRY_4242,2014-09-01,2014-11-01,DRUG_ID_07FE,-1,"['IND_36A0', 'IND_F338']",-1.0,1.0097251507703806,0.013845786203971,1.6465682558087678,1.8852782145746785,2.0,THER_AREA_96D7,1.1015876852675353,True,9
BRAND_51B0,2.437421972534332,2.002550171593541,BRAND_51B0_COUNTRY_D5B9,CORP_A278,COUNTRY_D5B9,2014-11-01,2014-11-01,DRUG_ID_BD35,-1,['IND_BAFB'],-1.0,1.005215684469137,0.0028837695358986,1.1461445836863935,1.479768899765333,2.0149253731343286,THER_AREA_6CEE,1.0585901852564252,True,7
BRAND_3E0A,2.04041822721598,2.1465275550588885,BRAND_3E0A_COUNTRY_C8F4,CORP_01C7,COUNTRY_C8F4,2014-10-01,2014-11-01,DRUG_ID_3210,-1,['IND_617C'],-1.0,1.0430342812142084,0.0330071092267318,1.0039691388306649,1.011404660266763,2.0,THER_AREA_980E,1.0019839008342184,True,10
BRAND_7114,1.6690074906367045,1.764280790089781,BRAND_7114_COUNTRY_89F9,CORP_6095,COUNTRY_89F9,2014-08-01,2014-11-01,DRUG_ID_5417,-1,"['IND_851C', 'IND_0AE9']",-1.0,1.4954848339178637,0.0609816473585694,-1.0,1.2788865484661147,1.9402985074626864,THER_AREA_CD59,2.8500004622892736,True,11
