brand,che_pc_usd,che_perc_gdp,cluster_nl,corporation,country,launch_date,date,drug_id,ind_launch_date,indication,insurance_perc_che,population,prev_perc,price_month,price_unit,public_perc_che,therapeutic_area,target,therapeutic_area_encoded
BRAND_2D21,1.0176342072409488,1.1983449905961,BRAND_2D21_COUNTRY_E319,CORP_C868,COUNTRY_E319,2014-07-01,2014-07-01,DRUG_ID_C2AD,2020-01-01 00:00:00,['IND_3A0D'],1.0533333333333332,1.736188551301716,0.1678343131449196,1.0,1.0048799402563102,1.1791044776119404,THER_AREA_66C5,1.0026868967859248,6
BRAND_FCEB,1.0858302122347063,1.7479239546427776,BRAND_FCEB_COUNTRY_EF33,CORP_7E54,COUNTRY_EF33,2014-08-01,2014-08-01,DRUG_ID_482D,2013-02-01 00:00:00,['IND_3A0D'],1.9066666666666667,1.3459380890213386,0.172366627645097,-1.0,1.0198173298843791,1.7910447761194028,THER_AREA_66C5,1.004443851442805,6
BRAND_9035,1.2161360799001248,1.6947410816495787,BRAND_9035_COUNTRY_3536,CORP_5CBD,COUNTRY_3536,2014-08-01,2014-08-01,DRUG_ID_877B,-1,['IND_3A0D'],1.48,1.3140684823251785,0.1322960848345136,-1.0,1.0094696436912174,1.7014925373134329,THER_AREA_66C5,1.0015053773437492,6
BRAND_7A2E,1.093789013732834,1.4273641610992265,BRAND_7A2E_COUNTRY_8DBB,CORP_C868,COUNTRY_8DBB,2014-08-01,2014-08-01,DRUG_ID_B633,-1,['IND_3A0D'],1.3866666666666667,1.934151801449072,0.172366627645097,1.0057976185167017,1.0111111187407964,1.5522388059701493,THER_AREA_66C5,1.0245179331715644,6
BRAND_2D21,1.0176342072409488,1.1983449905961,BRAND_2D21_COUNTRY_E319,CORP_C868,COUNTRY_E319,2014-07-01,2014-08-01,DRUG_ID_C2AD,2020-01-01 00:00:00,['IND_3A0D'],1.0533333333333332,1.736188551301716,0.1678343131449196,1.0,1.0048937841370535,1.1791044776119404,THER_AREA_66C5,1.004528647044794,6
BRAND_7A2E,1.093789013732834,1.4273641610992265,BRAND_7A2E_COUNTRY_8DBB,CORP_C868,COUNTRY_8DBB,2014-08-01,2014-09-01,DRUG_ID_B633,-1,['IND_3A0D'],1.3866666666666667,1.934151801449072,0.172366627645097,1.0057976185167017,1.0109658024386667,1.5522388059701493,THER_AREA_66C5,1.0435458619312037,6
BRAND_9035,1.180087390761548,1.6503924902010207,BRAND_9035_COUNTRY_2E65,CORP_5CBD,COUNTRY_2E65,2014-09-01,2014-09-01,DRUG_ID_877B,-1,['IND_3A0D'],1.7466666666666666,1.10811189587983,0.1322960848345136,-1.0,1.008549858099008,1.462686567164179,THER_AREA_66C5,1.0013771623070065,6
BRAND_9035,1.2161360799001248,1.6947410816495787,BRAND_9035_COUNTRY_3536,CORP_5CBD,COUNTRY_3536,2014-08-01,2014-09-01,DRUG_ID_877B,-1,['IND_3A0D'],1.48,1.3140684823251785,0.1322960848345136,-1.0,1.0098456360168375,1.7014925373134329,THER_AREA_66C5,1.0063124195878457,6
BRAND_2D21,1.0176342072409488,1.1983449905961,BRAND_2D21_COUNTRY_E319,CORP_C868,COUNTRY_E319,2014-07-01,2014-09-01,DRUG_ID_C2AD,2020-01-01 00:00:00,['IND_3A0D'],1.0533333333333332,1.736188551301716,0.1678343131449196,1.0,1.0049524740083018,1.1791044776119404,THER_AREA_66C5,1.005860346649529,6
BRAND_FCEB,1.0858302122347063,1.7479239546427776,BRAND_FCEB_COUNTRY_EF33,CORP_7E54,COUNTRY_EF33,2014-08-01,2014-09-01,DRUG_ID_482D,2013-02-01 00:00:00,['IND_3A0D'],1.9066666666666667,1.3459380890213386,0.172366627645097,-1.0,1.0210131223583578,1.7910447761194028,THER_AREA_66C5,1.0052208039164534,6
BRAND_638F,1.0806803995006242,1.2905466899544351,BRAND_638F_COUNTRY_221C,CORP_CDB5,COUNTRY_221C,2014-09-01,2014-09-01,DRUG_ID_A22C,-1,['IND_FC21'],1.76,1.597094252528871,0.0032383464938552,-1.0,1.001451500403867,1.9104477611940296,THER_AREA_644A,1.000628049353288,4
BRAND_9035,1.180087390761548,1.6503924902010207,BRAND_9035_COUNTRY_2E65,CORP_5CBD,COUNTRY_2E65,2014-09-01,2014-10-01,DRUG_ID_877B,-1,['IND_3A0D'],1.7466666666666666,1.10811189587983,0.1322960848345136,-1.0,1.0085957851584184,1.462686567164179,THER_AREA_66C5,1.003022503475726,6
BRAND_7A2E,1.093789013732834,1.4273641610992265,BRAND_7A2E_COUNTRY_8DBB,CORP_C868,COUNTRY_8DBB,2014-08-01,2014-10-01,DRUG_ID_B633,-1,['IND_3A0D'],1.3866666666666667,1.934151801449072,0.172366627645097,1.0057976185167017,1.010803390686057,1.5522388059701493,THER_AREA_66C5,1.0329604591467303,6
BRAND_2D21,1.0176342072409488,1.1983449905961,BRAND_2D21_COUNTRY_E319,CORP_C868,COUNTRY_E319,2014-07-01,2014-10-01,DRUG_ID_C2AD,2020-01-01 00:00:00,['IND_3A0D'],1.0533333333333332,1.736188551301716,0.1678343131449196,1.0,1.0049635936981738,1.1791044776119404,THER_AREA_66C5,1.0074254895681742,6
BRAND_638F,1.0806803995006242,1.2905466899544351,BRAND_638F_COUNTRY_221C,CORP_CDB5,COUNTRY_221C,2014-09-01,2014-10-01,DRUG_ID_A22C,-1,['IND_FC21'],1.76,1.597094252528871,0.0032383464938552,-1.0,1.0014703211325922,1.9104477611940296,THER_AREA_644A,1.0031190478659424,4
