,cluster_nl,date,launch_date
0,BRAND_014B_COUNTRY_0309,2023-01-01,2022-04-01
1,BRAND_014B_COUNTRY_0309,2023-02-01,2022-04-01
2,BRAND_014B_COUNTRY_0309,2023-03-01,2022-04-01
3,BRAND_014B_COUNTRY_0309,2023-04-01,2022-04-01
4,BRAND_014B_COUNTRY_0309,2023-05-01,2022-04-01
5,BRAND_014B_COUNTRY_0309,2023-06-01,2022-04-01
6,BRAND_014B_COUNTRY_0309,2023-07-01,2022-04-01
7,BRAND_014B_COUNTRY_0309,2023-08-01,2022-04-01
8,BRAND_014B_COUNTRY_0309,2023-09-01,2022-04-01
9,BRAND_014B_COUNTRY_0309,2023-10-01,2022-04-01
10,BRAND_014B_COUNTRY_0309,2023-11-01,2022-04-01
11,BRAND_014B_COUNTRY_0309,2023-12-01,2022-04-01
12,BRAND_014B_COUNTRY_06E4,2023-01-01,2022-09-01
13,BRAND_014B_COUNTRY_06E4,2023-02-01,2022-09-01
14,BRAND_014B_COUNTRY_06E4,2023-03-01,2022-09-01
15,BRAND_014B_COUNTRY_06E4,2023-04-01,2022-09-01
16,BRAND_014B_COUNTRY_06E4,2023-05-01,2022-09-01
17,BRAND_014B_COUNTRY_06E4,2023-06-01,2022-09-01
18,BRAND_014B_COUNTRY_06E4,2023-07-01,2022-09-01
19,BRAND_014B_COUNTRY_06E4,2023-08-01,2022-09-01
20,BRAND_014B_COUNTRY_06E4,2023-09-01,2022-09-01
21,BRAND_014B_COUNTRY_06E4,2023-10-01,2022-09-01
22,BRAND_014B_COUNTRY_06E4,2023-11-01,2022-09-01
23,BRAND_014B_COUNTRY_06E4,2023-12-01,2022-09-01
24,BRAND_014B_COUNTRY_6C16,2023-01-01,2022-03-01
25,BRAND_014B_COUNTRY_6C16,2023-02-01,2022-03-01
26,BRAND_014B_COUNTRY_6C16,2023-03-01,2022-03-01
27,BRAND_014B_COUNTRY_6C16,2023-04-01,2022-03-01
28,BRAND_014B_COUNTRY_6C16,2023-05-01,2022-03-01
29,BRAND_014B_COUNTRY_6C16,2023-06-01,2022-03-01
30,BRAND_014B_COUNTRY_6C16,2023-07-01,2022-03-01
31,BRAND_014B_COUNTRY_6C16,2023-08-01,2022-03-01
32,BRAND_014B_COUNTRY_6C16,2023-09-01,2022-03-01
33,BRAND_014B_COUNTRY_6C16,2023-10-01,2022-03-01
34,BRAND_014B_COUNTRY_6C16,2023-11-01,2022-03-01
35,BRAND_014B_COUNTRY_6C16,2023-12-01,2022-03-01
36,BRAND_056A_COUNTRY_0309,2023-01-01,2023-01-01
37,BRAND_056A_COUNTRY_0309,2023-02-01,2023-01-01
38,BRAND_056A_COUNTRY_0309,2023-03-01,2023-01-01
39,BRAND_056A_COUNTRY_0309,2023-04-01,2023-01-01
40,BRAND_056A_COUNTRY_0309,2023-05-01,2023-01-01
41,BRAND_056A_COUNTRY_0309,2023-06-01,2023-01-01
42,BRAND_056A_COUNTRY_0309,2023-07-01,2023-01-01
43,BRAND_056A_COUNTRY_0309,2023-08-01,2023-01-01
44,BRAND_056A_COUNTRY_0309,2023-09-01,2023-01-01
45,BRAND_056A_COUNTRY_0309,2023-10-01,2023-01-01
46,BRAND_056A_COUNTRY_0309,2023-11-01,2023-01-01
47,BRAND_056A_COUNTRY_0309,2023-12-01,2023-01-01
48,BRAND_056A_COUNTRY_06E4,2023-05-01,2023-05-01
49,BRAND_056A_COUNTRY_06E4,2023-06-01,2023-05-01
50,BRAND_056A_COUNTRY_06E4,2023-07-01,2023-05-01
51,BRAND_056A_COUNTRY_06E4,2023-08-01,2023-05-01
52,BRAND_056A_COUNTRY_06E4,2023-09-01,2023-05-01
53,BRAND_056A_COUNTRY_06E4,2023-10-01,2023-05-01
54,BRAND_056A_COUNTRY_06E4,2023-11-01,2023-05-01
55,BRAND_056A_COUNTRY_06E4,2023-12-01,2023-05-01
56,BRAND_056A_COUNTRY_1007,2023-06-01,2023-06-01
57,BRAND_056A_COUNTRY_1007,2023-07-01,2023-06-01
58,BRAND_056A_COUNTRY_1007,2023-08-01,2023-06-01
59,BRAND_056A_COUNTRY_1007,2023-09-01,2023-06-01
60,BRAND_056A_COUNTRY_1007,2023-10-01,2023-06-01
61,BRAND_056A_COUNTRY_1007,2023-11-01,2023-06-01
62,BRAND_056A_COUNTRY_1007,2023-12-01,2023-06-01
63,BRAND_056A_COUNTRY_3536,2023-07-01,2023-07-01
64,BRAND_056A_COUNTRY_3536,2023-08-01,2023-07-01
65,BRAND_056A_COUNTRY_3536,2023-09-01,2023-07-01
66,BRAND_056A_COUNTRY_3536,2023-10-01,2023-07-01
67,BRAND_056A_COUNTRY_3536,2023-11-01,2023-07-01
68,BRAND_056A_COUNTRY_3536,2023-12-01,2023-07-01
69,BRAND_056A_COUNTRY_3AD0,2023-01-01,2022-08-01
70,BRAND_056A_COUNTRY_3AD0,2023-02-01,2022-08-01
71,BRAND_056A_COUNTRY_3AD0,2023-03-01,2022-08-01
72,BRAND_056A_COUNTRY_3AD0,2023-04-01,2022-08-01
73,BRAND_056A_COUNTRY_3AD0,2023-05-01,2022-08-01
74,BRAND_056A_COUNTRY_3AD0,2023-06-01,2022-08-01
75,BRAND_056A_COUNTRY_3AD0,2023-07-01,2022-08-01
76,BRAND_056A_COUNTRY_3AD0,2023-08-01,2022-08-01
77,BRAND_056A_COUNTRY_3AD0,2023-09-01,2022-08-01
78,BRAND_056A_COUNTRY_3AD0,2023-10-01,2022-08-01
79,BRAND_056A_COUNTRY_3AD0,2023-11-01,2022-08-01
80,BRAND_056A_COUNTRY_3AD0,2023-12-01,2022-08-01
81,BRAND_056A_COUNTRY_4242,2023-05-01,2023-05-01
